location	date	cases
Colombia	2022-06-25	3.0
Colombia	2022-06-26	0.0
Colombia	2022-06-27	0.0
Colombia	2022-06-28	0.0
Colombia	2022-06-29	0.0
Colombia	2022-06-30	0.0
Colombia	2022-07-01	0.0
Colombia	2022-07-02	0.0
Colombia	2022-07-03	2.0
Colombia	2022-07-04	0.0
Colombia	2022-07-05	0.0
Colombia	2022-07-06	0.0
Colombia	2022-07-07	0.0
Colombia	2022-07-08	0.0
Colombia	2022-07-09	1.0
Colombia	2022-07-10	0.0
Colombia	2022-07-11	0.0
Colombia	2022-07-12	0.0
Colombia	2022-07-13	1.0
Colombia	2022-07-14	0.0
Colombia	2022-07-15	0.0
Colombia	2022-07-16	0.0
Colombia	2022-07-17	0.0
Colombia	2022-07-18	0.0
Colombia	2022-07-19	0.0
Colombia	2022-07-20	0.0
Colombia	2022-07-21	3.0
Colombia	2022-07-22	0.0
Colombia	2022-07-23	0.0
Colombia	2022-07-24	2.0
Colombia	2022-07-25	0.0
Colombia	2022-07-26	0.0
Colombia	2022-07-27	0.0
Colombia	2022-07-28	0.0
Colombia	2022-07-29	0.0
Colombia	2022-07-30	0.0
Colombia	2022-07-31	0.0
Colombia	2022-08-01	4.0
Colombia	2022-08-02	0.0
Colombia	2022-08-03	4.0
Colombia	2022-08-04	0.0
Colombia	2022-08-05	0.0
Colombia	2022-08-06	2.0
Colombia	2022-08-07	21.0
Colombia	2022-08-08	1.0
Colombia	2022-08-09	11.0
Colombia	2022-08-10	0.0
Colombia	2022-08-11	0.0
Colombia	2022-08-12	0.0
Colombia	2022-08-13	29.0
Colombia	2022-08-14	0.0
Colombia	2022-08-15	28.0
Colombia	2022-08-16	17.0
Colombia	2022-08-17	0.0
Colombia	2022-08-18	0.0
Colombia	2022-08-19	0.0
Colombia	2022-08-20	35.0
Colombia	2022-08-21	0.0
Colombia	2022-08-22	0.0
Colombia	2022-08-23	109.0
Colombia	2022-08-24	0.0
Colombia	2022-08-25	0.0
Colombia	2022-08-26	0.0
Colombia	2022-08-27	0.0
Colombia	2022-08-28	0.0
Colombia	2022-08-29	0.0
Colombia	2022-08-30	0.0
Colombia	2022-08-31	309.0
Colombia	2022-09-01	0.0
Colombia	2022-09-02	0.0
Colombia	2022-09-03	0.0
Colombia	2022-09-04	0.0
Colombia	2022-09-05	0.0
Colombia	2022-09-06	0.0
Colombia	2022-09-07	356.0
Colombia	2022-09-08	0.0
Colombia	2022-09-09	0.0
Colombia	2022-09-10	0.0
Colombia	2022-09-11	0.0
Colombia	2022-09-12	0.0
Colombia	2022-09-13	0.0
Colombia	2022-09-14	322.0
Colombia	2022-09-15	0.0
Colombia	2022-09-16	0.0
Colombia	2022-09-17	0.0
Colombia	2022-09-18	0.0
Colombia	2022-09-19	0.0
Colombia	2022-09-20	0.0
Colombia	2022-09-21	393.0
Colombia	2022-09-22	0.0
Colombia	2022-09-23	0.0
Colombia	2022-09-24	0.0
Colombia	2022-09-25	0.0
Colombia	2022-09-26	0.0
Colombia	2022-09-27	0.0
Colombia	2022-09-28	389.0
Colombia	2022-09-29	0.0
Colombia	2022-09-30	0.0
Colombia	2022-10-01	0.0
Colombia	2022-10-02	0.0
Colombia	2022-10-03	0.0
Colombia	2022-10-04	0.0
Colombia	2022-10-05	411.0
Colombia	2022-10-06	0.0
Colombia	2022-10-07	0.0
Colombia	2022-10-08	0.0
Colombia	2022-10-09	0.0
Colombia	2022-10-10	0.0
Colombia	2022-10-11	0.0
Colombia	2022-10-12	277.0
Colombia	2022-10-13	0.0
Colombia	2022-10-14	0.0
Colombia	2022-10-15	0.0
Colombia	2022-10-16	0.0
Colombia	2022-10-17	0.0
Colombia	2022-10-18	0.0
Colombia	2022-10-19	380.0
Colombia	2022-10-20	0.0
Colombia	2022-10-21	0.0
Colombia	2022-10-22	0.0
Colombia	2022-10-23	0.0
Colombia	2022-10-24	0.0
Colombia	2022-10-25	0.0
Colombia	2022-10-26	188.0
Colombia	2022-10-27	0.0
Colombia	2022-10-28	0.0
Colombia	2022-10-29	0.0
Colombia	2022-10-30	0.0
France	2022-05-19	0.0
France	2022-05-20	1.0
France	2022-05-21	0.0
France	2022-05-22	0.0
France	2022-05-23	0.0
France	2022-05-24	2.0
France	2022-05-25	2.0
France	2022-05-26	2.0
France	2022-05-27	0.0
France	2022-05-28	0.0
France	2022-05-29	0.0
France	2022-05-30	9.0
